clean_tokens,corrupt_tokens,corruption,corruption_type,duration_seconds,intensity,item,language,nued,snr_db,source,ued
221,221,gaussian_25db,gaussian,8.82,,fleurs_fr_dev100:83,fr,0.011138183083884442,25,fleurs_fr_dev100,0.14479638009049775
183,183,gaussian_25db,gaussian,7.32,,fleurs_fr_dev100:84,fr,0.0332072299285414,25,fleurs_fr_dev100,0.43169398907103823
203,203,gaussian_25db,gaussian,8.1,,fleurs_fr_dev100:85,fr,0.024630541871921183,25,fleurs_fr_dev100,0.32019704433497537
243,243,gaussian_25db,gaussian,9.72,,fleurs_fr_dev100:86,fr,0.0053814498258942705,25,fleurs_fr_dev100,0.06995884773662552
242,242,gaussian_25db,gaussian,9.66,,fleurs_fr_dev100:87,fr,0.033693579148124604,25,fleurs_fr_dev100,0.4380165289256198
143,143,gaussian_25db,gaussian,5.7,,fleurs_fr_dev100:88,fr,0.019365250134480906,25,fleurs_fr_dev100,0.2517482517482518
192,192,gaussian_25db,gaussian,7.68,,fleurs_fr_dev100:89,fr,0.017227564102564104,25,fleurs_fr_dev100,0.22395833333333334
233,233,gaussian_25db,gaussian,9.3,,fleurs_fr_dev100:90,fr,0.014856388246946186,25,fleurs_fr_dev100,0.19313304721030042
219,219,gaussian_25db,gaussian,8.76,,fleurs_fr_dev100:91,fr,0.011239901650860555,25,fleurs_fr_dev100,0.1461187214611872
155,155,gaussian_25db,gaussian,6.18,,fleurs_fr_dev100:92,fr,0.017369727047146403,25,fleurs_fr_dev100,0.22580645161290322
165,165,gaussian_25db,gaussian,6.6,,fleurs_fr_dev100:93,fr,0.015384615384615385,25,fleurs_fr_dev100,0.2
345,345,gaussian_25db,gaussian,13.8,,fleurs_fr_dev100:94,fr,0.013377926421404682,25,fleurs_fr_dev100,0.17391304347826086
159,159,gaussian_25db,gaussian,6.36,,fleurs_fr_dev100:95,fr,0.021286889211417512,25,fleurs_fr_dev100,0.27672955974842767
264,264,gaussian_25db,gaussian,10.56,,fleurs_fr_dev100:96,fr,0.018065268065268068,25,fleurs_fr_dev100,0.23484848484848486
173,173,gaussian_25db,gaussian,6.9,,fleurs_fr_dev100:97,fr,0.016896398399288574,25,fleurs_fr_dev100,0.21965317919075145
236,236,gaussian_25db,gaussian,9.42,,fleurs_fr_dev100:98,fr,0.017926988265971316,25,fleurs_fr_dev100,0.2330508474576271
224,224,gaussian_25db,gaussian,8.94,,fleurs_fr_dev100:99,fr,0.016483516483516484,25,fleurs_fr_dev100,0.21428571428571427
124,124,gaussian_25db,gaussian,4.944,,cv21_zh_dev100:0,zh,0.008684863523573201,25,cv21_zh_dev100,0.11290322580645161
120,120,gaussian_25db,gaussian,4.776,,cv21_zh_dev100:1,zh,0.015384615384615385,25,cv21_zh_dev100,0.2
158,158,gaussian_25db,gaussian,6.288,,cv21_zh_dev100:2,zh,0.007302823758519961,25,cv21_zh_dev100,0.0949367088607595
179,179,gaussian_25db,gaussian,7.128,,cv21_zh_dev100:3,zh,0.011602922217447357,25,cv21_zh_dev100,0.15083798882681565
114,114,gaussian_25db,gaussian,4.56,,cv21_zh_dev100:4,zh,0.004723346828609986,25,cv21_zh_dev100,0.06140350877192982
97,97,gaussian_25db,gaussian,3.864,,cv21_zh_dev100:5,zh,0.011102299762093575,25,cv21_zh_dev100,0.14432989690721648
142,142,gaussian_25db,gaussian,5.664,,cv21_zh_dev100:6,zh,0.007583965330444203,25,cv21_zh_dev100,0.09859154929577464
76,76,gaussian_25db,gaussian,3.024,,cv21_zh_dev100:7,zh,0.005060728744939271,25,cv21_zh_dev100,0.06578947368421052
168,168,gaussian_25db,gaussian,6.72,,cv21_zh_dev100:8,zh,0.007783882783882784,25,cv21_zh_dev100,0.10119047619047619
132,132,gaussian_25db,gaussian,5.28,,cv21_zh_dev100:9,zh,0.012237762237762238,25,cv21_zh_dev100,0.1590909090909091
82,82,gaussian_25db,gaussian,3.264,,cv21_zh_dev100:10,zh,0.004690431519699812,25,cv21_zh_dev100,0.06097560975609756
51,51,gaussian_25db,gaussian,2.016,,cv21_zh_dev100:11,zh,0.043740573152337855,25,cv21_zh_dev100,0.5686274509803921
183,183,gaussian_25db,gaussian,7.296,,cv21_zh_dev100:12,zh,0.00546448087431694,25,cv21_zh_dev100,0.07103825136612021
172,172,gaussian_25db,gaussian,6.864,,cv21_zh_dev100:13,zh,0.005813953488372093,25,cv21_zh_dev100,0.0755813953488372
174,174,gaussian_25db,gaussian,6.96,,cv21_zh_dev100:14,zh,0.007073386383731211,25,cv21_zh_dev100,0.09195402298850575
176,176,gaussian_25db,gaussian,7.032,,cv21_zh_dev100:15,zh,0.005244755244755244,25,cv21_zh_dev100,0.06818181818181818
122,122,gaussian_25db,gaussian,4.872,,cv21_zh_dev100:16,zh,0.008827238335435058,25,cv21_zh_dev100,0.11475409836065574
