aggregation,audio_index,coverage_vs_reference,edit_distance,mismatch_rate,policy,reference,tokens,ued
majority,1,1.0,507,0.2704,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.2704
center,1,1.0,1077,0.5749333333333333,stride_1s,nonoverlap_majority,1875,0.5744
center,1,1.0,529,0.2826666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.28213333333333335
edge_weighted,1,1.0,1076,0.5749333333333333,stride_1s,nonoverlap_majority,1875,0.5738666666666666
edge_weighted,1,1.0,4,0.0021333333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.0021333333333333334
voter_margin,1,1.0,1107,0.5909333333333333,stride_1s,nonoverlap_majority,1875,0.5904
voter_margin,1,1.0,465,0.248,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.248
entropy_weighted,1,1.0,1112,0.5946666666666667,stride_1s,nonoverlap_majority,1875,0.5930666666666666
entropy_weighted,1,1.0,452,0.24106666666666668,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.24106666666666668
edge_voter,1,1.0,1074,0.5738666666666666,stride_1s,nonoverlap_majority,1875,0.5728
edge_voter,1,1.0,0,0.0,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.0
edge_entropy,1,1.0,1075,0.5744,stride_1s,nonoverlap_majority,1875,0.5733333333333334
edge_entropy,1,1.0,7,0.0037333333333333333,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.0037333333333333333
edge_voter_entropy,1,1.0,1075,0.5744,stride_1s,nonoverlap_majority,1875,0.5733333333333334
edge_voter_entropy,1,1.0,9,0.0048,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.0048
hidden_mean,1,1.0,1155,0.6176,stride_1s,nonoverlap_majority,1875,0.616
hidden_mean,1,1.0,795,0.42506666666666665,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.424
hidden_edge,1,1.0,1155,0.6176,stride_1s,nonoverlap_majority,1875,0.616
hidden_edge,1,1.0,795,0.42506666666666665,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.424
hidden_edge_voter,1,1.0,1129,0.6042666666666666,stride_1s,nonoverlap_majority,1875,0.6021333333333333
hidden_edge_voter,1,1.0,701,0.37546666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.3738666666666667
first,2,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
first,2,1.0,1097,0.5882666666666667,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5850666666666666
majority,2,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
majority,2,1.0,1097,0.5882666666666667,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5850666666666666
center,2,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
center,2,1.0,1097,0.5882666666666667,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5850666666666666
edge_weighted,2,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
edge_weighted,2,1.0,1097,0.5882666666666667,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5850666666666666
voter_margin,2,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
voter_margin,2,1.0,1097,0.5882666666666667,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5850666666666666
